,ICL Prompt,ZSL Prompt,Answer
0,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Dawson drives Crimson EASTON, Pa. -- Lafayette's offense excited its homecoming crowd of 5,365 with 399 total yards yesterday, but it was still no match for Harvard.
Category: Sports
News: Snow says cutting trade deficit a priority Treasury Secretary John Snow said Wednesday cutting the US current account deficit will be a top priority for the Bush administration #39;s second term.
Category: Business
News: Congress Sends Bush Tax Cut Bill, Victory WASHINGTON - Legislation extending three popular middle-class tax cuts for the rest of the decade sailed through Congress by lopsided votes in both the House and Senate, giving President Bush a major legislative victory on his signature economic issue, tax relief.    Many Democrats complained during debate Thursday that the majority Republicans who control Congress should have offset the lost revenue to keep the nation's soaring deficits from getting worse...
Category: World
News: First impressions of Firefox 1.0 preview release First impressions of Firefox 1.0 preview release\\Firefox is my second choice for a web browser. Opera comes first. No doubts about that. But Firefox in itself is a pretty decent browser. My requirement from a browser has risen with my long time usage of Opera so I just cannot move ...
Category: Technology
News: French group seeks Ivorian peace A summit of French-speaking nations will now concentrate on the civil war in Ivory Coast, ministers say.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: French group seeks Ivorian peace A summit of French-speaking nations will now concentrate on the civil war in Ivory Coast, ministers say.
Category:",World
1,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Portugal to ban smoking in public places (AFP) AFP - Portugal plans to follow the example of other European nations and introduce legislation by the end of the month to ban smoking in most public places, including bars, restaurants and workplaces.
Category: World
News: Renault to invest \$573 million in Korea SEOUL The chairman of the French automaker Renault announced on Tuesday that it would invest 600 billion won in its South Korean operation, Renault Samsung Motors, to develop a sports utility vehicle and engine production facilities.
Category: Business
News: Can Lifeway Survive a Disaster? What happens when a great company gets hit by unforeseen circumstances?
Category: Business
News: AL Wrap: Molina Leads Angels to Sweep of Yankees (Reuters) Reuters - Bengie Molina had four hits, including\a three-run homer, as the Anaheim Angels completed a three-game\series sweep of the New York Yankees with a 4-3 win on Sunday.
Category: Sports
News: AMD introduces low-cost Internet device Chip company Advanced Micro Devices Inc. on Thursday rolled out a low-cost Internet device aimed at underserved markets around the world.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: AMD introduces low-cost Internet device Chip company Advanced Micro Devices Inc. on Thursday rolled out a low-cost Internet device aimed at underserved markets around the world.
Category:",Technology
2,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Globe joins six telcos in Asia-Pacific alliance Globe Telecom has joined a group of mobile-phone operators in Asia-Pacific to form a regional mobile alliance that will invest up to \$30 million to \$40 million over three years with an objective 
Category: Business
News: Mystics on the Verge In the Eastern Conference's cellar for much of the season, the Mystics could lock up a trip to the conference championship with a victory over the Sun Monday.
Category: Sports
News: Ljubicic Edges Into Madrid Semifinals  MADRID (Reuters) - Croatian Ivan Ljubicic edged into the  Madrid Masters semi-finals with a 7-6, 6-7, 7-6 victory over  seventh seed Joachim Johansson of Sweden on Friday.
Category: Sports
News: Chip maker plans capacity hike amid slowdown fear SHANGHAI: Semiconductor Ma-nufacturing International Corp., Chinas top chip maker, said it aims to hike capacity by about half by the end of 2005 to feed an anticipated sales leap in a \$30 billion market.
Category: Technology
News: Retail Sales Up 1.5 Pct., Fueled by Autos (Reuters) Reuters - U.S. retail sales rose by an\unexpectedly large 1.5 percent in September, propelled by the\sharpest jump in auto sales in nearly three years, according to\a government report on Friday that bodes well for economic\growth in the third quarter.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Retail Sales Up 1.5 Pct., Fueled by Autos (Reuters) Reuters - U.S. retail sales rose by an\unexpectedly large 1.5 percent in September, propelled by the\sharpest jump in auto sales in nearly three years, according to\a government report on Friday that bodes well for economic\growth in the third quarter.
Category:",Business
3,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Pittsburgh in driver's seat now for top berth Syracuse's 43-17 victory over Boston College forged a four-way tie for first place in the Big East among the Orange, Eagles, Pittsburgh, and West Virginia.
Category: Sports
News: NEXTEL CUP: Dale Jr. penalty too harsh Roush Racing driver Matt Kenseth, the defending NASCAR Nextel Cup champion, will share his views with Free Press readers through the final race in the Chase for the Championship, which ends Nov. 21 at Homestead, Fla.
Category: Sports
News: Israel not seeking for peace Mahmoud Abbas, head of the Palestinian Liberation Organization, said Thursday Israel must stop military action against Palestinians or there can be no peace.
Category: World
News: Prince Charles chastised for  #39;old fashioned #39; views LONDON: A British minister launched a scathing attack on heir to the throne Prince Charles on Thursday, accusing him of being  quot;very old fashioned quot; and out of touch in his views on teaching in schools.
Category: World
News: Honolulu Residents Vote for Mayor (AP) AP - Duke Bainum outspent Mufi Hannemann in Honolulu's most expensive mayoral race, but apparently failed to garner enough votes in Saturday's primary to claim the office outright.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Honolulu Residents Vote for Mayor (AP) AP - Duke Bainum outspent Mufi Hannemann in Honolulu's most expensive mayoral race, but apparently failed to garner enough votes in Saturday's primary to claim the office outright.
Category:",World
4,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Euro Rises Up Further Against US Dollar BERLIN Nov 8, 2004 - European Central Bank President Jean-Claude Trichet expressed concern Monday about the growing strength of the euro, saying a rally that sent the shared currency to an all-time high of US\$1.
Category: Business
News: Powell says blast consistent with North Koreas explanation WASHINGTON: The United States said on Tuesday a blast in North Korea last week that stirred fears of a nuclear explosion might have been demolition work for a power project, as Pyongyang has asserted.
Category: World
News: Computers take liking to Sooners The Sooners held on to second place in the Bowl Championship Series standings yesterday, staying ahead of third-place Auburn because of a stronger computer ranking.
Category: Sports
News: Dhaka tense after grenade blasts kill 16 Police are patrolling the streets of the Bangladeshi capital, Dhaka, after a series of grenade blasts killed at least 16 people. At least seven grenades were thrown at a rally yesterday of more than 3,000 supporters of the main opposition Awami League.
Category: World
News: Hack Attack Gums Up Authorize.Net Hackers have crippled one of the internet #39;s biggest credit card processors, and tens of thousands of online merchants are losing business while the company struggles to recover.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Hack Attack Gums Up Authorize.Net Hackers have crippled one of the internet #39;s biggest credit card processors, and tens of thousands of online merchants are losing business while the company struggles to recover.
Category:",Technology
5,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Israel to consider releasing Palestinian prisoners Israel says it #39;s considering releasing some Palestinian prisoners -- as part of a deal in which Egypt has freed an Israeli Arab man convicted of spying.
Category: World
News: AL Wrap: Indians, Twins Split Doubleheader to End Season  NEW YORK (Reuters) - Ben Broussard belted a two-run homer  in the third inning to give the Cleveland Indians a 5-2 win  over the Minnesota Twins to salvage a split of a unique  doubleheader on the final day of the American League regular  season.
Category: Sports
News: Australia defends law against terrorism JAKARTA: Australia defended a controversial maritime anti-terror plan on Friday after harsh words from neighbouring Indonesia that it breached international law and Jakartas sovereignty over its own waters.
Category: World
News: Judge Nixes Internet Child Porn Law in Pa. (AP) AP - A federal judge threw out on Friday a Pennsylvania law requiring Internet service providers to block Web sites containing child pornography, saying the law was unconstitutional and cannot be enforced.
Category: Technology
News: For Peirsol, a DQ, a wait  amp; a reward ATHENS -- The celebration had begun for Aaron Peirsol. He had just become the fifth person in Olympic history to win both backstroke events, adding the 200-meter race to his 100 win from earlier in the week. 
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: For Peirsol, a DQ, a wait  amp; a reward ATHENS -- The celebration had begun for Aaron Peirsol. He had just become the fifth person in Olympic history to win both backstroke events, adding the 200-meter race to his 100 win from earlier in the week. 
Category:",Sports
6,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Iranians see right to nuclear program as matter of national pride TEHRAN, Iran -- From this country's divisive political sphere to its disaffected streets, one thing binds Iranians of all ideologies: a fervent belief in the Islamic Republic's right to its nuclear program.
Category: World
News: Kufa Shelled As Iraqi Shiite Cleric Leaves For Najaf Shiite cleric Ayatollah Ali Hussien al-Sistani has begun a trip to the city of Najaf to help bring an end to the fighting there. Once he arrives, he plans to lead a peace march.
Category: World
News: Boeing Profit Up 78 Pct., Raises Forecast Boeing Co. on Wednesday topped Wall Street expectations with a 78 percent jump in quarterly profit on strength in its defense operations, and raised its earnings forecast for 2004.
Category: Business
News: PG amp;E ready to pay More than three years after PG amp;E Corp. stopped paying dividends during California #39;s electricity crisis, company executives said Friday that they plan to give stockholders quarterly payments of 30 cents per share next spring.
Category: Business
News: Verizon, Qwest Ask Court to Block New FCC Rules (Reuters) Reuters - Verizon Communications Inc. and\Qwest Communications International Inc. asked a federal court\on Tuesday to block temporary rules by the U.S. Federal\Communications Commission forcing the companies to lease phone\lines to rivals for at least another six months.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Verizon, Qwest Ask Court to Block New FCC Rules (Reuters) Reuters - Verizon Communications Inc. and\Qwest Communications International Inc. asked a federal court\on Tuesday to block temporary rules by the U.S. Federal\Communications Commission forcing the companies to lease phone\lines to rivals for at least another six months.
Category:",Business
7,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Canuck iTunes music to a fan #39;s ears Canadians are finally getting a taste of Apple #39;s iTunes. The legal music download service finally launched in Canada yesterday, bringing with it over 700,000 songs, exclusive tracks, celebrity playlists and multiple CD burning rights.
Category: Technology
News: Security Watch: Bots March In Last week, Microsoft released a security bulletin reporting vulnerability in the graphics subsystem in Windows and a wide range of Microsoft products.
Category: Technology
News: Berners-Lee returns to UK p2pnet.net News - Sir Tim Berners-Lee, the man who invented the World Wide Web, is going home to England where he #39;s been appointed a professor at Southampton University.
Category: Technology
News: Doctors wait for irritation to disappear Surgery on the Red Sox pitcher Curt Schilling #39;s right ankle apparently has been delayed at least a week because of an irritation in the area of the torn tendon sheath that is to be repaired.
Category: Sports
News: Borders 2Q Profits Soar 89 Percent Borders Group Inc. #39;s second-quarter profits rose 89 percent on stronger-than-anticipated book sales and topped Wall Street #39;s estimates. The company also increased its full-year earnings outlook. 
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Borders 2Q Profits Soar 89 Percent Borders Group Inc. #39;s second-quarter profits rose 89 percent on stronger-than-anticipated book sales and topped Wall Street #39;s estimates. The company also increased its full-year earnings outlook. 
Category:",Business
8,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Gates: Microsoft To Test MSN Spaces Blog Thursday Vox populi, 2004 style. Microsoft (nasdaq: MSFT - news - people ) on Wednesday said it will offer blogging to the online many-headed.
Category: Technology
News: Game On for Take-Two Profits may disappoint, but revenue strength is evidence that the game company is a relevant player.
Category: Business
News: Fact and fiction in the Microsoft-SCO relationship SCO's fight against Linux has conspiracy theorists buzzing over Microsoft's role in the affair. What are the facts?
Category: Technology
News: Taiwan Opposition Claims Victory Taiwan's opposition parties, which favor\closer ties with China, claimed victory in the parliament\elections on Saturday, beating President Chen Shui-bian's\pro-independence party after a tight race.
Category: World
News: Hurricane Ivan Damages Parts of Barbados ST. GEORGE #39;S, Grenada Sept. 7, 2004 - Packing ferocious winds, Hurricane Ivan made a direct hit on Grenada Tuesday, blasting apart scores of homes and hurling hundreds of the island #39;s landmark red zinc roofs through the air.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Hurricane Ivan Damages Parts of Barbados ST. GEORGE #39;S, Grenada Sept. 7, 2004 - Packing ferocious winds, Hurricane Ivan made a direct hit on Grenada Tuesday, blasting apart scores of homes and hurling hundreds of the island #39;s landmark red zinc roofs through the air.
Category:",World
9,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: How Michigan athletes fared at the Olympics Olympic events involving athletes and coaches with connections to Michigan. All listed are on Team USA unless otherwise indicated: Andre Dirrell of Flint advanced into the boxing quarterfinals, needing 
Category: Sports
News: Network Centric Operations Industry Consortium Created 28 major companies announced their formation of the Network Centric Operations Industry Consortium, (NCOIC), an industry-wide consortium, with the goal of recommending a unified approach that would enable sensors, communications and information systems to 
Category: Technology
News: Sox Fans Buy Souvenirs, Wonder About 2005 (AP) AP - The line at the souvenir store curved around the corner, about the length of a Mark Bellhorn homer into Pesky's Pole. Thousands of fans yearned to wear the words ""Boston Red Sox"" and ""World Series Champions"" on the same shirt. One of them wasn't sure what he wanted on the back.
Category: Sports
News: Focus brings US vaulters gold and silver  quot;When I vault, I don #39;t think about winning and I don #39;t think about losing, quot; Mack said.  quot;I just think about two things: the bar and using my arms.
Category: Sports
News: Grand opening for Terriers Minnesota may have spoiled Boston University's final game at Walter Brown Arena by claiming a 2-1 victory at the old barn Sunday, but the Terriers weren't going to let the Golden Gophers ruin their inaugural game at Agganis Arena.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Grand opening for Terriers Minnesota may have spoiled Boston University's final game at Walter Brown Arena by claiming a 2-1 victory at the old barn Sunday, but the Terriers weren't going to let the Golden Gophers ruin their inaugural game at Agganis Arena.
Category:",Sports
