,ICL Prompt,ZSL Prompt,Answer
0,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Dawson drives Crimson EASTON, Pa. -- Lafayette's offense excited its homecoming crowd of 5,365 with 399 total yards yesterday, but it was still no match for Harvard.
Category: Sports
News: Snow says cutting trade deficit a priority Treasury Secretary John Snow said Wednesday cutting the US current account deficit will be a top priority for the Bush administration #39;s second term.
Category: Business
News: Congress Sends Bush Tax Cut Bill, Victory WASHINGTON - Legislation extending three popular middle-class tax cuts for the rest of the decade sailed through Congress by lopsided votes in both the House and Senate, giving President Bush a major legislative victory on his signature economic issue, tax relief.    Many Democrats complained during debate Thursday that the majority Republicans who control Congress should have offset the lost revenue to keep the nation's soaring deficits from getting worse...
Category: World
News: First impressions of Firefox 1.0 preview release First impressions of Firefox 1.0 preview release\\Firefox is my second choice for a web browser. Opera comes first. No doubts about that. But Firefox in itself is a pretty decent browser. My requirement from a browser has risen with my long time usage of Opera so I just cannot move ...
Category: Technology
News: Locust swarms advance into Egypt Swarms of locusts blown off the Mediterranean towards the Egyptian capital, Cairo, are not expected to cause major damage to crops.
Category: World
News: Renault to invest \$573 million in Korea SEOUL The chairman of the French automaker Renault announced on Tuesday that it would invest 600 billion won in its South Korean operation, Renault Samsung Motors, to develop a sports utility vehicle and engine production facilities.
Category: Business
News: Can Lifeway Survive a Disaster? What happens when a great company gets hit by unforeseen circumstances?
Category: Business
News: AL Wrap: Molina Leads Angels to Sweep of Yankees (Reuters) Reuters - Bengie Molina had four hits, including\a three-run homer, as the Anaheim Angels completed a three-game\series sweep of the New York Yankees with a 4-3 win on Sunday.
Category: Sports
News: French group seeks Ivorian peace A summit of French-speaking nations will now concentrate on the civil war in Ivory Coast, ministers say.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: French group seeks Ivorian peace A summit of French-speaking nations will now concentrate on the civil war in Ivory Coast, ministers say.
Category:",World
1,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Globe joins six telcos in Asia-Pacific alliance Globe Telecom has joined a group of mobile-phone operators in Asia-Pacific to form a regional mobile alliance that will invest up to \$30 million to \$40 million over three years with an objective 
Category: Business
News: Mystics on the Verge In the Eastern Conference's cellar for much of the season, the Mystics could lock up a trip to the conference championship with a victory over the Sun Monday.
Category: Sports
News: Karzai team '100 percent sure' of victory despite irregularities probe (AFP) AFP - Hamid Karzai's campaign team said it was  quot;100 percent sure quot; of victory in Afghanistan's first presidential election, even though the final result cannot be declared until complaints from all candidates are investigated and the last vote is counted.
Category: World
News: Chip maker plans capacity hike amid slowdown fear SHANGHAI: Semiconductor Ma-nufacturing International Corp., Chinas top chip maker, said it aims to hike capacity by about half by the end of 2005 to feed an anticipated sales leap in a \$30 billion market.
Category: Technology
News: Pittsburgh in driver's seat now for top berth Syracuse's 43-17 victory over Boston College forged a four-way tie for first place in the Big East among the Orange, Eagles, Pittsburgh, and West Virginia.
Category: Sports
News: Golf: Bohn, Ellis open with 63s at Michelin Championship LAS VEGAS, United States : Danny Ellis and Jason Bohn fired rounds of 63 to lead after the first round of the four million dollar PGA Michelin Championship.
Category: Sports
News: Israel not seeking for peace Mahmoud Abbas, head of the Palestinian Liberation Organization, said Thursday Israel must stop military action against Palestinians or there can be no peace.
Category: World
News: Prince Charles chastised for  #39;old fashioned #39; views LONDON: A British minister launched a scathing attack on heir to the throne Prince Charles on Thursday, accusing him of being  quot;very old fashioned quot; and out of touch in his views on teaching in schools.
Category: World
News: AMD introduces low-cost Internet device Chip company Advanced Micro Devices Inc. on Thursday rolled out a low-cost Internet device aimed at underserved markets around the world.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: AMD introduces low-cost Internet device Chip company Advanced Micro Devices Inc. on Thursday rolled out a low-cost Internet device aimed at underserved markets around the world.
Category:",Technology
2,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Euro Rises Up Further Against US Dollar BERLIN Nov 8, 2004 - European Central Bank President Jean-Claude Trichet expressed concern Monday about the growing strength of the euro, saying a rally that sent the shared currency to an all-time high of US\$1.
Category: Business
News: Powell says blast consistent with North Koreas explanation WASHINGTON: The United States said on Tuesday a blast in North Korea last week that stirred fears of a nuclear explosion might have been demolition work for a power project, as Pyongyang has asserted.
Category: World
News: Computers take liking to Sooners The Sooners held on to second place in the Bowl Championship Series standings yesterday, staying ahead of third-place Auburn because of a stronger computer ranking.
Category: Sports
News: Dhaka tense after grenade blasts kill 16 Police are patrolling the streets of the Bangladeshi capital, Dhaka, after a series of grenade blasts killed at least 16 people. At least seven grenades were thrown at a rally yesterday of more than 3,000 supporters of the main opposition Awami League.
Category: World
News: Israel to consider releasing Palestinian prisoners Israel says it #39;s considering releasing some Palestinian prisoners -- as part of a deal in which Egypt has freed an Israeli Arab man convicted of spying.
Category: World
News: NFL Wrap: Barber Runs Over Packers as Giants Win  NEW YORK (Reuters) - Tiki Barber rushed for 182 yards and  ran 52 yards for a touchdown as the New York Giants used a  stifling defense to upset the Green Bay Packers 14-7 in Green  Bay on Sunday.
Category: Sports
News: Australia defends law against terrorism JAKARTA: Australia defended a controversial maritime anti-terror plan on Friday after harsh words from neighbouring Indonesia that it breached international law and Jakartas sovereignty over its own waters.
Category: World
News: EDS may cut 20,000 jobs over the next two years Electronic Data Systems Corp. (EDS) plans to lay off between 15,000 and 20,000 employees over the next two years as part of an effort to slash \$3 billion in costs, the company's Chairman and Chief Executive Officer Michael Jordan said Thursday during a question-and-answer session at a conference.
Category: Technology
News: Retail Sales Up 1.5 Pct., Fueled by Autos (Reuters) Reuters - U.S. retail sales rose by an\unexpectedly large 1.5 percent in September, propelled by the\sharpest jump in auto sales in nearly three years, according to\a government report on Friday that bodes well for economic\growth in the third quarter.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Retail Sales Up 1.5 Pct., Fueled by Autos (Reuters) Reuters - U.S. retail sales rose by an\unexpectedly large 1.5 percent in September, propelled by the\sharpest jump in auto sales in nearly three years, according to\a government report on Friday that bodes well for economic\growth in the third quarter.
Category:",Business
3,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Iranians see right to nuclear program as matter of national pride TEHRAN, Iran -- From this country's divisive political sphere to its disaffected streets, one thing binds Iranians of all ideologies: a fervent belief in the Islamic Republic's right to its nuclear program.
Category: World
News: This isn #39;t same Lion Heart, trainer says Trainer Patrick Biancone says the Lion Heart who will try to get 1 1/4 miles in Saturday #39;s Travers is not the same Lion Heart who failed to get the same distance in the Kentucky Derby 17 weeks ago.
Category: Sports
News: Boeing Profit Up 78 Pct., Raises Forecast Boeing Co. on Wednesday topped Wall Street expectations with a 78 percent jump in quarterly profit on strength in its defense operations, and raised its earnings forecast for 2004.
Category: Business
News: PG amp;E ready to pay More than three years after PG amp;E Corp. stopped paying dividends during California #39;s electricity crisis, company executives said Friday that they plan to give stockholders quarterly payments of 30 cents per share next spring.
Category: Business
News: Canuck iTunes music to a fan #39;s ears Canadians are finally getting a taste of Apple #39;s iTunes. The legal music download service finally launched in Canada yesterday, bringing with it over 700,000 songs, exclusive tracks, celebrity playlists and multiple CD burning rights.
Category: Technology
News: Security Watch: Bots March In Last week, Microsoft released a security bulletin reporting vulnerability in the graphics subsystem in Windows and a wide range of Microsoft products.
Category: Technology
News: Berners-Lee returns to UK p2pnet.net News - Sir Tim Berners-Lee, the man who invented the World Wide Web, is going home to England where he #39;s been appointed a professor at Southampton University.
Category: Technology
News: Doctors wait for irritation to disappear Surgery on the Red Sox pitcher Curt Schilling #39;s right ankle apparently has been delayed at least a week because of an irritation in the area of the torn tendon sheath that is to be repaired.
Category: Sports
News: Honolulu Residents Vote for Mayor (AP) AP - Duke Bainum outspent Mufi Hannemann in Honolulu's most expensive mayoral race, but apparently failed to garner enough votes in Saturday's primary to claim the office outright.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Honolulu Residents Vote for Mayor (AP) AP - Duke Bainum outspent Mufi Hannemann in Honolulu's most expensive mayoral race, but apparently failed to garner enough votes in Saturday's primary to claim the office outright.
Category:",World
4,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Gates: Microsoft To Test MSN Spaces Blog Thursday Vox populi, 2004 style. Microsoft (nasdaq: MSFT - news - people ) on Wednesday said it will offer blogging to the online many-headed.
Category: Technology
News: Russian Leader Promises Open Inquiry Into Terror Attack In an unusual retreat, Vladimir V. Putin today promised an open inquiry into the slaughter of hostages at a school.
Category: World
News: Fact and fiction in the Microsoft-SCO relationship SCO's fight against Linux has conspiracy theorists buzzing over Microsoft's role in the affair. What are the facts?
Category: Technology
News: Taiwan Opposition Claims Victory Taiwan's opposition parties, which favor\closer ties with China, claimed victory in the parliament\elections on Saturday, beating President Chen Shui-bian's\pro-independence party after a tight race.
Category: World
News: How Michigan athletes fared at the Olympics Olympic events involving athletes and coaches with connections to Michigan. All listed are on Team USA unless otherwise indicated: Andre Dirrell of Flint advanced into the boxing quarterfinals, needing 
Category: Sports
News: Jackson Joins Kerry Campaign As Adviser (AP) AP - Civil rights activist Jesse Jackson joined the campaign of Sen. John Kerry on Wednesday as a poll showed support for the presidential candidate slipping among black Americans, a critical Democratic constituency.
Category: World
News: Oracle sets applications suite release for Nov. 8 Oracle plans to finally ship its E-Business Suite 11i.10 on Nov. 8, company executives said today.
Category: Technology
News: Focus brings US vaulters gold and silver  quot;When I vault, I don #39;t think about winning and I don #39;t think about losing, quot; Mack said.  quot;I just think about two things: the bar and using my arms.
Category: Sports
News: Hack Attack Gums Up Authorize.Net Hackers have crippled one of the internet #39;s biggest credit card processors, and tens of thousands of online merchants are losing business while the company struggles to recover.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Hack Attack Gums Up Authorize.Net Hackers have crippled one of the internet #39;s biggest credit card processors, and tens of thousands of online merchants are losing business while the company struggles to recover.
Category:",Technology
5,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Today's schedule Pro baseball: AL Championship Series -- New York Yankees vs. Red Sox (Game 3) at Fenway Park, 8 p.m.
Category: Sports
News: EU's Barroso pulls commission STRASBOURG, France -- The president-elect of the European Commission withdrew his proposed EU executive team yesterday to avoid an unprecedented European Parliament defeat, plunging the 25-nation bloc into political turmoil.
Category: World
News: Federal judge stays ruling in UPS case SAN FRANCISCO -- A federal judge on Monday stayed his own ruling that UPS must give deaf and hearing impaired workers the same opportunity as others to become truck drivers, allowing the company to appeal.
Category: Business
News: Hyatt to Buy AmeriSuites Hotel Chain  NEW YORK (Reuters) - Hyatt Corp. on Thursday said it agreed  to buy AmeriSuites, an upscale limited-service hotel chain that  it hopes will complement its full-service portfolio.
Category: Business
News: Defense picks up slack for Abraham Shaun Ellis has a high standard for the Jets #39; defense. He says he and his teammates try to do more than just limit the damage opposing offenses do.
Category: Sports
News: Everton duo left frustrated Scotland defender Gary Naysmith has admitted that his lack of action at Everton has added to Berti Vogts #39; list of worries. Injuries have already robbed the Scots of Jackie McNamara, Malky Mackay and Nigel 
Category: Sports
News: Biaggi sees the light. After three tough races, in which he scored a total of just 10-points, Max Biaggi was back to his best at Sepang on Sunday - when he charged through the lead pack and proved the only rider capable of threatening race winner Valentino Rossi.
Category: Sports
News: Bombardier CEO Quits, Shares Plunge  MONTREAL (Reuters) - Paul Tellier stepped down as president  and chief executive of Bombardier Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BBDsvb.TO target=/stocks/quickinfo/fullquote""&gt;BBDsvb.TO&lt;/A&gt; &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BBDb.TO target=/stocks/quickinfo/fullquote""&gt;BBDb.TO&lt;/A&gt;,  sending the train and plane maker's shares down as much as 26  percent to a 10-year low on Monday.
Category: Business
News: For Peirsol, a DQ, a wait  amp; a reward ATHENS -- The celebration had begun for Aaron Peirsol. He had just become the fifth person in Olympic history to win both backstroke events, adding the 200-meter race to his 100 win from earlier in the week. 
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: For Peirsol, a DQ, a wait  amp; a reward ATHENS -- The celebration had begun for Aaron Peirsol. He had just become the fifth person in Olympic history to win both backstroke events, adding the 200-meter race to his 100 win from earlier in the week. 
Category:",Sports
6,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: The Pride are back for more Springfield College begins this season with lofty expectations and a No. 4 preseason ranking from d3football.com. That doesn't impress coach Mike DeLong, whose team opens at home tomorrow night with a tough test against Union College.
Category: Sports
News: Kerry rebukes Bush over 'Sopranos' tax lecture (AFP) AFP - President George W. Bush and Democratic rival John Kerry fought over who is the most wasteful spender in their televised election debate here.
Category: Business
News: Spectator Phelps' 8th Medal Ties Record ATHENS, Greece - Michael Phelps won another gold medal, this time wearing khaki shorts and flip-flops. From a front-row seat at the Olympic pool, Phelps watched his teammates do all the work in the 400-meter medley relay Saturday night...
Category: World
News: R. Kelly and Jay-Z Reluctantly Unite ROSEMONT, Ill. - The handwritten script appeared slowly at first, unspooling across the wide-screen video monitors inside the Allstate Arena as if scrawled by some giant, invisible hand...
Category: World
News: Barcelona beats Albacete, opens nine-point lead FC Barcelona opened a 12-point lead in the Spanish league after Andres Iniesta and Xavi Hernandez scored in a 2-1 win at 17th-placed Albacete on Saturday.
Category: Sports
News: NASA Claims New Supercomputer Is World's Fastest The cluster of 20 computers working as one will be used to speed up spacecraft design, environmental prediction and other research.
Category: Technology
News: RISE SALLIE, RISE Sallie Krawcheck #39;s star got brighter yesterday when she was named chief financial officer and head of strategy at mammoth Citigroup, making her by far the most powerful woman on Wall Street.
Category: Business
News: Knauss Tests Positive for Nandrolone  VIENNA (Reuters) - Hans Knauss, one of the best known and  most experienced Austrian skiers, has tested positive for the  anabolic steroid nandrolone.
Category: Sports
News: Verizon, Qwest Ask Court to Block New FCC Rules (Reuters) Reuters - Verizon Communications Inc. and\Qwest Communications International Inc. asked a federal court\on Tuesday to block temporary rules by the U.S. Federal\Communications Commission forcing the companies to lease phone\lines to rivals for at least another six months.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Verizon, Qwest Ask Court to Block New FCC Rules (Reuters) Reuters - Verizon Communications Inc. and\Qwest Communications International Inc. asked a federal court\on Tuesday to block temporary rules by the U.S. Federal\Communications Commission forcing the companies to lease phone\lines to rivals for at least another six months.
Category:",Business
7,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Gunners run out of ammunition Manchester United showed why it has been the dominant club in the Premier League era, ending Arsenal #39;s 49-match unbeaten streak and closing within eight points of the league leader.
Category: Sports
News: Palmer hobbling FOXBORO, Mass. Cincinnati Bengals quarterback Carson Palmer was on crutches after Sunday #39;s 35-to-28 loss to the New England Patriots.
Category: Sports
News: AOL Releases Netscape 7.2 Also included with 7.2 is an improved pop-up blocker which now stops more pop-ups than any previous version of Netscape, something only just apparent in some more widely used browsers, Netscape will even block mouse over pop-ups. 
Category: Technology
News: Australia crush Solomon Islands MELBOURNE: Josip Skoko scored twice to help Australia crush Solomon Islands 5-1 in their Oceania Confederations Cup first-leg qualifier in Honiara today.
Category: Sports
News: 3 Kidnapped UN Workers Are Released in Kabul The release of three United Nations workers who had been held hostage for more than three weeks took place early Tuesday in what appeared to be an orchestrated handover.
Category: World
News: Seats can fail in rear crashes That meathead tailgating you might pose more of a hazard that you think. Crash tests by insurance researchers have found that most cars don #39;t protect motorists very well against whiplash neck injuries in rear collisions.
Category: Technology
News: In crunch, Dolphins perfectly awful MIAMI -- The New York Jets went conservative yesterday, waiting for the mistakes that have doomed the Miami Dolphins in every game this season.
Category: Sports
News: S.E.C Probes Chiron Over Flu Shot Shortage The S.E.C. has launched an informal inquiry into how Chiron handled the disclosure of vaccine-manufacturing problems that caused the nation's flu shot crisis.
Category: Business
News: Borders 2Q Profits Soar 89 Percent Borders Group Inc. #39;s second-quarter profits rose 89 percent on stronger-than-anticipated book sales and topped Wall Street #39;s estimates. The company also increased its full-year earnings outlook. 
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Borders 2Q Profits Soar 89 Percent Borders Group Inc. #39;s second-quarter profits rose 89 percent on stronger-than-anticipated book sales and topped Wall Street #39;s estimates. The company also increased its full-year earnings outlook. 
Category:",Business
8,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Diageo Sells Cereal Maker Shares Drinks giant Diageo today raised 2.26 billion US dollars (1.27bn) after selling a further chunk of shares in Cheerios cereal maker General Mills.
Category: Business
News: 3M Posts Higher Profit, Misses Estimates  CHICAGO (Reuters) - 3M Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMM.N target=/stocks/quickinfo/fullquote""&gt;MMM.N&lt;/A&gt; on Monday said  third-quarter earnings rose 17 percent due in part to the weak  dollar, but the diversified manufacturer's results came in  below Wall Street's estimates for the first time in at least  seven quarters.
Category: Business
News: Allied Waste shares fall as company again lowers outlook AUSTIN Shares in Allied Waste Industries fell today after the waste hauler cut its 2004 profit outlook for the second time in as many months.
Category: Business
News: UN Council Wants Sudan Peace Deal by End of Year (Reuters) Reuters - The U.N. Security Council, on a\high-profile visit to the Kenyan capital, expects Sudan and its\southern opposition on Thursday to promise to complete by Dec.\31 a comprehensive peace agreement ending a 21-year civil war.
Category: World
News: Beltre's slam lifts Dodgers Adrian Beltre hit a grand slam to become the first player to reach 40 home runs this year, and Alex Cora homered and had five RBIs to lead the Los Angeles Dodgers to a 10-2 rout of the Expos in Montreal.
Category: Sports
News: Cuts unnecessary to delivery baby When a baby is stuck during delivery, doctors do not have to cut the woman to safely deliver the child, research shows.
Category: World
News: Fears grow for British hostage in Iraq after execution of colleague (AFP) AFP - Fears were growing for the safety of a British engineer held hostage in Iraq after grisly footage of the execution of a US co-worker also held captive was posted on the Internet.
Category: World
News: German economic recovery slows down LONDON, November 11 (newratings.com) - Germany witnessed a slowdown in its economic growth momentum during the third quarter this year, with the nation #39;s GDP growth rate declining to 0.1 from the relatively robust growth rate of 0.4 in the first two 
Category: Business
News: Hurricane Ivan Damages Parts of Barbados ST. GEORGE #39;S, Grenada Sept. 7, 2004 - Packing ferocious winds, Hurricane Ivan made a direct hit on Grenada Tuesday, blasting apart scores of homes and hurling hundreds of the island #39;s landmark red zinc roofs through the air.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Hurricane Ivan Damages Parts of Barbados ST. GEORGE #39;S, Grenada Sept. 7, 2004 - Packing ferocious winds, Hurricane Ivan made a direct hit on Grenada Tuesday, blasting apart scores of homes and hurling hundreds of the island #39;s landmark red zinc roofs through the air.
Category:",World
9,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Chronology of Cheney's Health Problems (AP) AP - A summary of Vice President Dick Cheney's heart problems:
Category: World
News: Telecom offers broadband to go Telecom mobile general manager Kevin Kenrick showed off the Harrier personal digital assistant at the launch of the company #39;s 3G mobile broadband network in Wellington yesterday.
Category: Technology
News: Siemens sets up 1Gbit/s wireless link Siemens has claimed a world first for its transmission of data at a rate of 1Gbit/s over a wireless link. To achieve this rate, which is 20 times faster than today #39;s 50Mbit/s wireless LANs, researchers at 
Category: Technology
News: US-Vietnam flight launched United Airlines (UA) on Thursday launched the first daily flight service to Vietnam from the United States since 1975. The flight represents the first such service by an American air carrier since the end 
Category: Business
News: AFC Enterprises to sell Cinnabon to Roark Capital AFC Enterprises Inc. plans to sell its Cinnabon subsidiary to Focus Brands Inc., an affiliate of Roark Capital Group, for \$30.3 million.
Category: Business
News: Investors Take a Holiday (Reuters) Reuters - Investors may pack up and leave town\this week as the Republican National Convention begins in New\York and many on Wall Street take vacation -- draining U.S.\markets of volume and leaving stocks with little direction.
Category: Business
News: UK no longer top asylum nation The UK has been replaced by France as the top destination for asylum seekers in the industrialised world, says the UN.
Category: World
News: No. 21 Wisconsin 81, Wis.-Parkside 42 Alando Tucker, who missed all but four games last season with a foot injury, scored 14 points and grabbed 10 rebounds to lead No. 21 Wisconsin to an 81-42 exhibition victory over Wisconsin-Parkside Wednesday night.
Category: Sports
News: Grand opening for Terriers Minnesota may have spoiled Boston University's final game at Walter Brown Arena by claiming a 2-1 victory at the old barn Sunday, but the Terriers weren't going to let the Golden Gophers ruin their inaugural game at Agganis Arena.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Grand opening for Terriers Minnesota may have spoiled Boston University's final game at Walter Brown Arena by claiming a 2-1 victory at the old barn Sunday, but the Terriers weren't going to let the Golden Gophers ruin their inaugural game at Agganis Arena.
Category:",Sports
